Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,125.08999633789062,127.33000183105469,124.81999969482422,127.06999969482422,123.9571533203125,8580200
2021-01-04,127.5,127.86000061035156,124.77999877929688,125.87000274658203,122.78655242919922,16819900
2021-01-05,124.98999786376953,126.30000305175781,123.7699966430664,125.6500015258789,123.45466613769531,13731200
2021-01-06,129.8800048828125,132.77000427246094,127.87999725341797,131.5500030517578,129.25157165527344,24909100
2021-01-07,135.69000244140625,138.19000244140625,134.9199981689453,135.8699951171875,133.49609375,21940400
2021-01-08,135.97000122070312,136.35000610351562,134.1199951171875,136.02000427246094,133.64349365234375,12035100
2021-01-11,134.5800018310547,138.1999969482422,134.11000061035156,138.0500030517578,135.6380157470703,15937900
2021-01-12,139.44000244140625,141.66000366210938,138.8300018310547,140.22000122070312,137.7700958251953,18033500
2021-01-13,138.58999633789062,140.7899932861328,138.10000610351562,140.35000610351562,137.89784240722656,14816800
2021-01-14,140.49000549316406,142.75,140.0,141.1699981689453,138.70350646972656,18565600
2021-01-15,137.42999267578125,141.64999389648438,137.00999450683594,138.63999938964844,136.21771240234375,27881000
2021-01-19,139.86000061035156,140.6999969482422,137.82000732421875,138.0399932861328,135.62818908691406,19843800
2021-01-20,137.82000732421875,138.1699981689453,135.44000244140625,135.97000122070312,133.59434509277344,16028800
2021-01-21,135.69000244140625,136.16000366210938,134.32000732421875,134.8300018310547,132.47427368164062,13411700
2021-01-22,132.69000244140625,134.39999389648438,132.1999969482422,133.7899932861328,131.4524383544922,12933200
2021-01-25,132.13999938964844,133.1699981689453,130.05999755859375,132.1199951171875,129.81163024902344,14212800
2021-01-26,132.75,133.1699981689453,131.33999633789062,131.5800018310547,129.28106689453125,11307800
2021-01-27,129.58999633789062,129.85000610351562,127.3499984741211,127.86000061035156,125.62605285644531,17603900
2021-01-28,129.89999389648438,132.1699981689453,128.99000549316406,130.11000061035156,127.83673858642578,13761800
2021-01-29,131.19000244140625,131.72000122070312,128.19000244140625,128.6699981689453,126.4218978881836,14808100
2021-02-01,129.39999389648438,130.07000732421875,128.47999572753906,129.6199951171875,127.35529327392578,11080700
2021-02-02,131.94000244140625,134.38999938964844,131.22000122070312,133.61000061035156,131.2755889892578,12253600
2021-02-03,133.64999389648438,135.75999450683594,133.50999450683594,135.13999938964844,132.7788543701172,10600800
2021-02-04,135.47000122070312,138.66000366210938,135.47000122070312,138.25,135.8345184326172,12419500
2021-02-05,139.38999938964844,139.49000549316406,137.3800048828125,137.97999572753906,135.56922912597656,10051300
2021-02-08,138.1999969482422,140.3000030517578,138.17999267578125,140.13999938964844,137.69149780273438,10136400
2021-02-09,139.42999267578125,139.97999572753906,138.5399932861328,139.5800018310547,137.1412811279297,8614800
2021-02-10,140.0,140.8699951171875,139.0399932861328,139.66000366210938,137.2198944091797,10323200
2021-02-11,139.66000366210938,140.5500030517578,138.22000122070312,139.27000427246094,136.8367156982422,9201000
2021-02-12,139.0500030517578,141.61000061035156,139.0,141.25,138.7821044921875,8324600
2021-02-16,143.5500030517578,145.32000732421875,142.39999389648438,144.64999389648438,142.12269592285156,12130600
2021-02-17,143.9499969482422,145.3800048828125,143.1199951171875,145.10000610351562,142.56484985351562,10810100
2021-02-18,144.0,145.7899932861328,143.39999389648438,145.58999633789062,143.04627990722656,10587800
2021-02-19,145.86000061035156,148.83999633789062,145.86000061035156,148.02000427246094,145.43382263183594,11969800
2021-02-22,146.8699951171875,150.19000244140625,146.7899932861328,149.41000366210938,146.79954528808594,11488400
2021-02-23,151.50999450683594,152.30999755859375,149.58999633789062,150.61000061035156,147.97857666015625,16234400
2021-02-24,150.11000061035156,153.75999450683594,150.11000061035156,153.25999450683594,150.58226013183594,15061400
2021-02-25,154.27000427246094,154.89999389648438,150.58999633789062,151.17999267578125,148.5386199951172,18127700
2021-02-26,150.3000030517578,150.8699951171875,146.50999450683594,147.1699981689453,144.59866333007812,19829200
2021-03-01,149.52000427246094,151.3800048828125,148.47999572753906,150.5,147.87049865722656,14845500
2021-03-02,150.0800018310547,151.77999877929688,149.83999633789062,150.00999450683594,147.38905334472656,14221700
2021-03-03,151.22999572753906,154.97999572753906,150.82000732421875,152.91000366210938,150.2384033203125,14324100
2021-03-04,152.61000061035156,154.3800048828125,148.6199951171875,150.55999755859375,147.929443359375,20093900
2021-03-05,153.22000122070312,153.49000549316406,147.97000122070312,150.91000366210938,148.27334594726562,18465100
2021-03-08,152.47000122070312,155.4600067138672,150.75,152.91000366210938,150.2384033203125,17133300
2021-03-09,151.5,154.25,149.82000732421875,151.8300018310547,149.17726135253906,16238800
2021-03-10,151.91000366210938,156.16000366210938,151.50999450683594,155.1300048828125,152.4196014404297,14342200
2021-03-11,154.11000061035156,156.14999389648438,153.36000061035156,154.32000732421875,151.62374877929688,11771500
2021-03-12,156.86000061035156,157.6300048828125,155.07000732421875,156.14999389648438,153.42176818847656,12849500
2021-03-15,156.35000610351562,156.9199981689453,153.9600067138672,155.3699951171875,152.65541076660156,12101100
2021-03-16,154.08999633789062,154.60000610351562,152.19000244140625,153.50999450683594,150.82789611816406,12805600
2021-03-17,155.33999633789062,156.8800048828125,153.0500030517578,155.08999633789062,152.3802947998047,13952400
2021-03-18,157.60000610351562,161.69000244140625,157.11000061035156,157.64999389648438,154.89556884765625,21898500
2021-03-19,155.50999450683594,155.94000244140625,151.19000244140625,155.13999938964844,152.42941284179688,54418800
